from=0x0000000000000000000000000000000000000001 token_in=0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7 token_out=0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e quoter=0xbe0f5544ec67e9b3b2d979aaa43f18fd87e6257f pool=0x0e663593657b064e1bae76d28625df5d0ebd4421
100000000000000000 WAVAX -> USDC 2115184
Elapsed: 2.50s for 'revm_cached_first'
100000000000000000 WAVAX -> USDC 2115184
98000000000000000 WAVAX -> USDC 2072881
96000000000000000 WAVAX -> USDC 2030578
94000000000000000 WAVAX -> USDC 1988275
92000000000000000 WAVAX -> USDC 1945972
90000000000000000 WAVAX -> USDC 1903668
88000000000000000 WAVAX -> USDC 1861365
86000000000000000 WAVAX -> USDC 1819062
84000000000000000 WAVAX -> USDC 1776759
82000000000000000 WAVAX -> USDC 1734456
80000000000000000 WAVAX -> USDC 1692152
78000000000000000 WAVAX -> USDC 1649849
76000000000000000 WAVAX -> USDC 1607546
74000000000000000 WAVAX -> USDC 1565242
72000000000000000 WAVAX -> USDC 1522939
70000000000000000 WAVAX -> USDC 1480636
68000000000000000 WAVAX -> USDC 1438332
66000000000000000 WAVAX -> USDC 1396029
64000000000000000 WAVAX -> USDC 1353725
62000000000000000 WAVAX -> USDC 1311422
60000000000000000 WAVAX -> USDC 1269118
58000000000000000 WAVAX -> USDC 1226815
56000000000000000 WAVAX -> USDC 1184511
54000000000000000 WAVAX -> USDC 1142207
52000000000000000 WAVAX -> USDC 1099904
50000000000000000 WAVAX -> USDC 1057600
48000000000000000 WAVAX -> USDC 1015296
46000000000000000 WAVAX -> USDC 972993
44000000000000000 WAVAX -> USDC 930689
42000000000000000 WAVAX -> USDC 888385
40000000000000000 WAVAX -> USDC 846081
38000000000000000 WAVAX -> USDC 803777
36000000000000000 WAVAX -> USDC 761474
34000000000000000 WAVAX -> USDC 719170
32000000000000000 WAVAX -> USDC 676866
30000000000000000 WAVAX -> USDC 634562
28000000000000000 WAVAX -> USDC 592258
26000000000000000 WAVAX -> USDC 549954
24000000000000000 WAVAX -> USDC 507650
22000000000000000 WAVAX -> USDC 465346
20000000000000000 WAVAX -> USDC 423042
18000000000000000 WAVAX -> USDC 380738
16000000000000000 WAVAX -> USDC 338433
14000000000000000 WAVAX -> USDC 296129
12000000000000000 WAVAX -> USDC 253825
10000000000000000 WAVAX -> USDC 211521
8000000000000000 WAVAX -> USDC 169217
6000000000000000 WAVAX -> USDC 126912
4000000000000000 WAVAX -> USDC 84608
2000000000000000 WAVAX -> USDC 42304
Elapsed: 7.31s for 'revm_cached_loop'
